57 87
53 89
46 98
46 103
53 96
57 99
55 102
57 105
62 95
60 102
48 106
37 111
37 106
38 101
43 97
39 92
55 80
51 83
47 85
48 87
46 80
54 80
56 87
51 85
54 81
55 78
50 82
53 85
48 90
58 83
74 77
81 79
97 73
108 79
113 90
107 107
100 129
85 142
76 156
71 163
54 176
39 181
34 166
26 167
22 159
24 146
19 134
15 127
13 117
7 119
4 103
4 96
3 86
3 78
2 73
2 67
3 59
2 53
3 42
3 40
6 36
7 34
8 30
9 28
12 25
16 26
15 26
20 22
19 22
26 21
31 19
41 18
54 21
60 24
70 22
93 24
119 27
132 43
151 53
168 71
177 106
159 153
125 202
91 238
59 255
33 253
19 235
11 219
8 205
5 187
4 171
4 152
6 135
10 119
8 109
7 96
8 84
8 72
7 64
9 56
12 46
11 44
12 40
12 37
12 33
11 33
12 28
12 27
14 24
16 21
19 20
23 16
33 12
44 12
52 16
60 18
73 22
87 27
94 36
102 36
121 41
131 62
141 76
155 93
142 125
115 156
94 192
83 188
70 195
58 203
59 197
44 195
33 191
25 177
23 166
24 151
23 143
20 137
11 120
13 117
11 101
12 96
11 83
13 76
13 69
16 62
17 58
19 52
19 48
21 44
18 46
17 48
20 43
19 42
24 31
27 31
36 25
46 23
59 20
76 19
92 18
113 19
135 27
150 36
168 45
184 70
207 98
195 138
165 200
100 270
64 279
26 275
15 256
7 238
6 215
6 184
8 165
8 146
8 137
8 127
4 111
5 92
4 85
5 79
5 69
7 60
9 54
11 48
12 45
15 40
21 34
24 33
29 31
36 33
44 29
51 25
65 27
72 30
94 27
112 33
125 45
134 61
132 91
126 114
126 131
107 159
92 181
66 200
50 213
34 210
30 195
21 193
17 173
13 157
11 144
13 133
14 120
12 112
16 105
18 96
15 98
10 94
15 87
12 78
12 73
15 60
18 55
20 49
22 44
22 38
27 37
34 32
37 33
42 29
44 29
50 24
54 24
62 20
75 19
84 23
100 29
117 34
136 42
151 61
184 78
185 121
153 176
125 226
95 259
51 289
35 285
21 272
14 260
10 238
5 218
3 200
3 180
2 167
2 143
2 129
3 111
4 97
4 84
5 77
6 67
8 65
8 63
8 55
8 43
9 37
9 33
12 30
13 28
18 25
19 22
24 19
29 17
43 16
56 17
66 18
82 22
93 27
118 24
150 26
161 36
175 48
199 75
206 120
196 164
142 240
101 278
72 292
30 309
20 289
18 254
18 232
13 213
11 198
7 181
8 161
